id,word,symbol,class,meaning,example,level
1,habit,/ˈhæbɪt/,,n. 习惯,It's a good habit to read English for half an hour every morning.（2022 上海中考）,200+
2,bachelor,/ˈbætʃələ(r)/,,n. 学士学位；,My sister is studying hard to earn a bachelor's degree in Shanghai.,200+
3,calculate,/ˈkælkjuleɪt/,,v. 计算,We need to calculate the total cost of the school trip carefully.（2021 上海中考）,200+
4,damage,/ˈdæmɪdʒ/,,v. 损坏；损失,The heavy storm didn't damage the new teaching building of our school.（2023 上海中考）,200+
5,earn,/ɜːn/,,v. 赚得；挣得,He can earn some pocket money by doing part-time jobs in his spare time.（2024 上海中考）,200+
6,failure,/ˈfeɪljə(r)/,,n. 失败,There is no fear of failure if you keep working hard all the time.（2022 上海中考）,200+
7,garage,/ˈɡærɑːʒ/,,n. 车库,My father put his new car in the garage and then went back home.（2024 上海中考模拟）,200+
8,abandon,/əˈbændən/,,v. 放弃；遗弃,We should never abandon our dreams no matter what difficulties we face.（2021 上海中考）,200+
9,illegal,/ɪˈliːɡ(ə)l/,,adj. 非法的,It is illegal to park your car in the wrong place in the city center.（2023 上海中考）,200+
10,jewellery,/ˈdʒuːəlri/,,n. 珠宝,Her grandmother's jewellery is kept in a beautiful wooden box.（2024 上海中考模拟）,200+
11,lame,/leɪm/,,adj. 跛的,The lame old man always gets help from neighbors when crossing the street.（2024 上海中考模拟）,200+
12,machine,/məˈʃiːn/,,n. 机器,This new machine can help workers finish the work much faster.（2022 上海中考）,200+
13,narrow,/ˈnærəʊ/,,adj. 狭窄的,We walked through a narrow street to get to the old park in the town.（2023 上海中考）,200+
14,obey,/əˈbeɪ/,,v. 服从,Everyone must obey the traffic rules when walking or driving on the road.（2021 上海中考）,200+
15,pack,/pæk/,,v. 打包,My mother helped me pack my clothes for the summer camp yesterday.（2022 上海中考）,200+
16,qualification,/ˌkwɒlɪfɪˈkeɪʃn/,,n. 资格,He has the right qualification to take part in this important competition.（2024 上海中考模拟）,200+
17,racial,/ˈreɪʃ(ə)l/,,adj. 人种的；种族的,People in our city respect all racial groups and live in peace together.（2024 上海中考模拟）,200+
18,sail,/seɪl/,,v. 航海；航行,They plan to sail along the Huangpu River on a cruise ship this weekend.（2023 上海中考模拟）,200+
19,talent,/ˈtælənt/,,n. 才能；天才,She has a great talent for music and sings very well.（2024 上海中考）,200+
20,unbearable,/ʌnˈbeərəb(ə)l/,,adj. 无法忍受,The heat in the room without air conditioning is almost unbearable in summer.（2024 上海中考模拟）,200+
21,vacation,/vəˈkeɪʃn/,,n. 假期,We will go to the seaside for our winter vacation this year.（2021 上海中考）,150+
22,wage,/weɪdʒ/,,n. 工资,His father's monthly wage can support the whole family comfortably.（2024 上海中考模拟）,150+
23,yell,/jel/,,v. 叫喊；吼叫,Don't yell at your family members; we should talk to each other politely.（2022 上海中考）,150+
